Name,QuestId,DisplayName,Chapter,RegionId,ActorId,Summary,WindowStart,WindowEnd,CompletionFlag,RewardMask,bRewardsHeartFragment
q.bellwether.blastmask,q.bellwether.blastmask,The Bomb Bag Thief,1,bellwether.town,npc.bombshop.matron,A thief takes the old woman's bomb bag on the road north on the first night. Be standing there when he does.,"(Day=1,Hour=18,Minute=0)","(Day=1,Hour=23,Minute=59)",perm.quest.blastmask,BlastMask,false
q.bellwether.sleepless,q.bellwether.sleepless,What the Pawnbroker Bought,4,bellwether.town,npc.pawnbroker,The same thief sells what he took. Catch him at the shop counter after midnight and buy it back.,"(Day=1,Hour=0,Minute=0)","(Day=2,Hour=6,Minute=0)",perm.quest.sleepless,SleeplessMask,false
q.bellwether.postman,q.bellwether.postman,The Round Nobody Ran,4,bellwether.town,npc.postman,"The postman keeps to his schedule until the last day, when he cannot make himself leave. Run it for him.","(Day=3,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.postman,CourierCap,false
q.bellwether.bandleader,q.bellwether.bandleader,Nobody Marches Any More,4,bellwether.town,npc.bandleader,The bandleader drills an empty square every morning. Fall in behind him.,"(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.marchmask,MarchMask,false
q.bellwether.altar,q.bellwether.altar,Waiting at the Altar,4,bellwether.town,npc.bride,A woman has been waiting at an empty altar since the carnival was announced. Ask her who for.,"(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.lostson,LostSonMask,false
q.bellwether.couple,q.bellwether.couple,Both Halves in One Room,12,bellwether.town,npc.bride,"Carry the letters, find the man in hiding, and get the two of them into the same room before the last dawn.","(Day=3,Hour=18,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.betrothal,BetrothalMask,false
q.bellwether.fountain,q.bellwether.fountain,The Scattered Spirit,2,bellwether.town,npc.fountain.spirit,The fountain spirit has come apart. Gather the pieces loose in the town and carry them back.,"(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.gracemask,GraceMask,false
q.bellwether.clocktower,q.bellwether.clocktower,Climbing the Tower,1,bellwether.town,npc.clockmaster,The tower opens on the last night. Be at the top of it when it does.,"(Day=3,Hour=18,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.towerclimb,None,false
q.mirefen.witch,q.mirefen.witch,Mushrooms from the Deep Wood,2,mirefen.swamp,npc.witch,The witch's sister has gone looking for mushrooms and not come back. Go and get both.,"(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.keennose,KeenNoseMask,false
q.mirefen.spiders,q.mirefen.spiders,The Gold in the Spider House,2,mirefen.swamp,npc.spiderhouse.keeper,"Thirty gold spiders in the house at the swamp's edge, and a curse that lifts when the last one is out.","(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.truthmask,TruthMask,false
q.mirefen.monkey,q.mirefen.monkey,Nobody Listens to the Monkey,2,mirefen.swamp,npc.monkey,A monkey is being blamed for the poisoned water. Hear it out before the guards do anything about it.,"(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.monkeyheard,None,false
q.mirefen.tour,q.mirefen.tour,The Boat Tour,2,mirefen.swamp,npc.boatman,The tour runs whether or not the water is fit to run it through. Shoot every target on the way past.,"(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.boattour,None,true
q.mirefen.gatemerchant,q.mirefen.gatemerchant,Hiding from the Gate Guard,4,mirefen.swamp,npc.merchant,"A merchant is pressed into the rocks by the swamp gate, waiting for a soldier to look elsewhere.","(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.unseen,UnseenMask,false
q.outskirts.hare,q.outskirts.hare,A Picture of a Thing,2,bellwether.outskirts,npc.fieldman,"The man in the field wants proof of something nobody believes in, and will trade for it.","(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.harehood,HareHood,false
q.outskirts.hole,q.outskirts.hole,The Tallest Tale in Town,2,bellwether.outskirts,npc.taleteller,The story about the hole in the ground turns out to be true. Go down it.,"(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.foxwarden,FoxwardenMask,false
q.outskirts.storms,q.outskirts.storms,The Spring That Only Runs in Rain,4,bellwether.outskirts,npc.rainkeeper,"There is a spring on the road that only runs in bad weather, and a song that makes bad weather.","(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.stormspring,None,true
q.frostcrown.elder,q.frostcrown.elder,Burying the Elder,5,frostcrown.pass,npc.mountain.elder,The village is burying its elder in weather that will not break. Play for him on the road.,"(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.boulderkin,Boulderkin,false
q.frostcrown.frogs,q.frostcrown.frogs,Five Frogs and a Chorus,5,frostcrown.pass,npc.frog.conductor,"Five frogs scattered across the whole map, and a conductor who has been waiting for all of them.","(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.chorusmask,ChorusMask,false
