Name,RegionId,DisplayName,Chapter,Summary,StatueId,RequiredForm,RequiredFlag,WorldOrigin,Extent
bellwether.town,bellwether.town,Bellwether Town,1,"The clock town under the falling moon. Four quarters, a tower at the centre, and a carnival nobody expects to see.",statue.bellwether,Traveller,,"(X=0,Y=0,Z=0)","(X=60,Y=60)"
mirefen.swamp,mirefen.swamp,Mirefen Swamp,2,"Poisoned water south of the town. A boat tour, a witch's hut, and a monkey nobody will listen to.",statue.mirefen,Sapling,,"(X=160,Y=0,Z=0)","(X=60,Y=60)"
marshwood.approach,marshwood.approach,Marshwood Rise,3,"The path above the swamp, where a temple waits under the water for a song to lift it.",,Sapling,,"(X=320,Y=0,Z=0)","(X=60,Y=60)"
bellwether.outskirts,bellwether.outskirts,Bellwether Outskirts,4,"The roads out of town between temples: a fairy fountain, a milk bar, and a great many people to catch at the right hour.",,Traveller,,"(X=480,Y=0,Z=0)","(X=60,Y=60)"
frostcrown.pass,frostcrown.pass,Frostcrown Pass,5,"A mountain road locked in unseasonal winter, and the village at the top of it burying its elder.",statue.frostcrown,Boulderkin,,"(X=640,Y=0,Z=0)","(X=60,Y=60)"
frostcrown.summit,frostcrown.summit,Frostcrown Summit,6,"The temple in the ice at the head of the pass, its furnace long cold.",,Boulderkin,,"(X=0,Y=160,Z=0)","(X=60,Y=60)"
thaw.fields,thaw.fields,Thawing Fields,7,"Spring comes back down the mountain. A cattle ranch, a barrow full of the restless, and a race worth winning.",statue.thaw,Traveller,,"(X=160,Y=160,Z=0)","(X=60,Y=60)"
tidebreak.coast,tidebreak.coast,Tidebreak Coast,8,"A poisoned bay, a laboratory on stilts, and a band waiting for a musician who drowned.",statue.tidebreak,Tideborn,,"(X=320,Y=160,Z=0)","(X=60,Y=60)"
tidebreak.reef,tidebreak.reef,Tidebreak Reef,9,"The temple under the bay, plumbed like a machine and just as unforgiving.",,Tideborn,,"(X=480,Y=160,Z=0)","(X=60,Y=60)"
ashen.canyon,ashen.canyon,Ashen Canyon,10,A kingdom that refused to end. Music holds the dead here in place of law.,statue.ashen,Traveller,,"(X=640,Y=160,Z=0)","(X=60,Y=60)"
ashen.keep,ashen.keep,Ashen Keep,11,"The well beneath the canyon and the castle above it, and a king who still holds court.",,Traveller,,"(X=0,Y=320,Z=0)","(X=60,Y=60)"
sunkenspire.base,sunkenspire.base,Sunken Spire,12,"A tower built to be turned upside down, and the last temple inside it.",statue.sunkenspire,Traveller,,"(X=160,Y=320,Z=0)","(X=60,Y=60)"
moon.field,moon.field,The Moon,13,"A field, a tree, and five children in masks who would rather play than end anything.",,Traveller,,"(X=320,Y=320,Z=0)","(X=120,Y=120)"
